hour,demand
2485,1397.8304878558165
2486,1384.7422612745077
2487,1323.1371525643924
2488,1176.1934975905383
2489,866.3136952428426
2490,706.2362298934265
2491,670.8978896100244
2492,690.3745989953301
2493,713.5174541263939
2494,779.2206034831546
2495,933.4087183439818
2496,1292.7173733061757
2497,1492.0684657733375
2498,1402.6848307190412
2499,1334.225805780079
2500,1275.6922234226904
2501,1216.118408769554
2502,1170.3938213681586
2503,1145.5114612189875
2504,1139.3228514927819
2505,1159.2848388144137
2506,1186.4357844447163
2507,1239.3908347120603
2508,1281.9570110866116
2509,1284.2733084180777
2510,1271.86092122875
2511,1215.3767503020947
2512,1080.4539132718896
2513,795.4666788947582
2514,648.1315547989617
2515,615.7158006447713
2516,633.6855006847832
2517,654.5344333388
2518,714.525046668951
2519,856.7211992506844
2520,1187.0630489330763
2521,1527.820660694971
2522,1437.2597800636713
2523,1367.0962313406724
2524,1306.861059437062
2525,1245.825161564414
2526,1198.647812248658
2527,1172.975275722001
2528,1166.438060751916
2529,1186.5394284143388
2530,1213.6669339943905
2531,1267.2133950475181
2532,1309.8637522085887
2533,1311.2996791157489
2534,1297.837557945223
2535,1239.842713720076
2536,1102.6963408527242
2537,814.0777094926533
2538,664.8770443736606
2539,632.1680723887508
2540,650.5581066121886
2541,672.4053477449545
2542,734.342801675719
2543,879.0244306195899
2544,1216.839339437786
2545,1542.0215229581156
2546,1450.7354427905257
2547,1379.9062213129034
2548,1319.0944212342984
2549,1257.4681955026597
2550,1209.810530964429
2551,1183.8267891454989
2552,1177.2204217184146
2553,1197.5016151684065
2554,1224.8696235036573
2555,1278.8725774612667
2556,1321.8646126923363
2557,1323.1547623965562
2558,1309.4189386022792
2559,1250.9011582812393
2560,1112.5851135026064
2561,821.4800555177138
2562,670.9644576232793
2563,637.9904357639808
2564,656.5662858833798
2565,678.5682825136653
2566,741.0310821572755
2567,887.0396812395517
2568,1228.056675678194
2569,1545.2312472052076
2570,1453.6860679132299
2571,1382.718025617382
2572,1321.7915251741977
2573,1260.0488981982169
2574,1212.3184137017545
2575,1186.3033224477006
2576,1179.6781245369493
2577,1200.0156512323524
2578,1227.4522033756557
2579,1281.6156084089896
2580,1324.7270900320962
2581,1326.0785587863663
2582,1312.3648696180826
2583,1253.7137818972662
2584,1115.0582648836946
2585,823.2291332514615
